,userid,condition,iuipcAnswersSorted,iuipcQuestionsSorted,nfcAnswersSorted,nfcQuestionsSorted,ueqAnswersSorted,ueqQuestionsSorted,numeracyAnswers,iuipc,nfc,numeracy,ueq_pragmatic,ueq_hedonic,ueq_total,epsilon_mean,epsilon_1,epsilon_2,epsilon_3,epsilon_4,epsilon_5
0,fd41c4e7-9ec4-4f12-b6f9-b394af34541a,c1,"['6', '6', '7', '6', '7', '7', '6', '7', '7', '5']","['Beim Online-Datenschutz für Verbraucher:innen geht es in erster Linie um das Recht der Verbraucher:innen, Kontrolle und Autonomie über Entscheidungen auszuüben, wie persönliche Informationen gesammelt, verwendet und weitergegeben werden.', 'Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Die Kontrolle der Verbraucher:innen über ihre persönlichen Informationen ist die Kernaufgabe des Datenschutzes.', 'Eine gute Online-Datenschutzrichtlinie für Verbraucher:innen sollte  klar formuliert und auffällig platziert sein.', 'Es ist mir sehr wichtig, dass ich bewusst und sachkundig darüber informiert bin, wie meine persönlichen Informationen verwendet werden.', 'Es stört mich, so vielen Online-Unternehmen persönliche Informationen zu geben.', 'Ich bin besorgt, dass Online-Unternehmen zu viele persönliche Informationen über mich sammeln.', 'Ich glaube, dass die Online-Privatsphäre durch eine Marketingmaßnahme verletzt wird, wenn Kontrolle verloren geht oder ungewollt reduziert wird.', 'Normalerweise stört es mich, wenn Online-Unternehmen mich nach persönlichen Informationen fragen.', 'Unternehmen, die Online Informationen einholen, sollten offenlegen, wie die Daten gesammelt, verarbeitet und genutzt werden.', 'Wenn mich Online-Unternehmen nach persönlichen Informationen fragen, überlege ich manchmal zweimal, bevor ich sie angebe.']","['3', '5', '3', '3', '5', '3']","['Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher nicht zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Denken entspricht nicht dem, was ich unter Spaß verstehe.', 'Die Aufgabe, neue Lösungen für Probleme zu finden, macht mir wirklich Spaß.', 'Ich trage nicht gerne die Verantwortung für eine Situation, die sehr viel Denken erfordert.', 'Ich würde komplizierte Probleme einfachen Problemen vorziehen.', 'Ich würde lieber eine Aufgabe lösen, die Intelligenz erfordert, schwierig und bedeutend ist, als eine Aufgabe, die zwar irgendwie wichtig ist, aber nicht viel Nachdenken erfordert.', 'Ich würde lieber etwas tun, das wenig Denken erfordert, als etwas, das mit Sicherheit meine Denkfähigkeit herausfordert.']","[5, 2, 5, 7, 5, 4, 4, 5]","['behindernd', 'herkömmlich', 'ineffizient', 'kompliziert', 'konventionell', 'langweilig', 'uninteressant', 'verwirrend']","['20', '3', '', '']",6.4,4.666666666666667,1,5.5,3.75,4.625,22.4,50,18,30,10,4
1,0fd4e093-6be2-4afa-8c32-48a1188090e7,c2,"['6', '6', '7', '6', '6', '5', '6', '6', '6', '5']","['Beim Online-Datenschutz für Verbraucher:innen geht es in erster Linie um das Recht der Verbraucher:innen, Kontrolle und Autonomie über Entscheidungen auszuüben, wie persönliche Informationen gesammelt, verwendet und weitergegeben werden.', 'Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Die Kontrolle der Verbraucher:innen über ihre persönlichen Informationen ist die Kernaufgabe des Datenschutzes.', 'Eine gute Online-Datenschutzrichtlinie für Verbraucher:innen sollte  klar formuliert und auffällig platziert sein.', 'Es ist mir sehr wichtig, dass ich bewusst und sachkundig darüber informiert bin, wie meine persönlichen Informationen verwendet werden.', 'Es stört mich, so vielen Online-Unternehmen persönliche Informationen zu geben.', 'Ich bin besorgt, dass Online-Unternehmen zu viele persönliche Informationen über mich sammeln.', 'Ich glaube, dass die Online-Privatsphäre durch eine Marketingmaßnahme verletzt wird, wenn Kontrolle verloren geht oder ungewollt reduziert wird.', 'Normalerweise stört es mich, wenn Online-Unternehmen mich nach persönlichen Informationen fragen.', 'Unternehmen, die Online Informationen einholen, sollten offenlegen, wie die Daten gesammelt, verarbeitet und genutzt werden.', 'Wenn mich Online-Unternehmen nach persönlichen Informationen fragen, überlege ich manchmal zweimal, bevor ich sie angebe.']","['5', '3', '5', '2', '3', '5']","['Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher nicht zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Denken entspricht nicht dem, was ich unter Spaß verstehe.', 'Die Aufgabe, neue Lösungen für Probleme zu finden, macht mir wirklich Spaß.', 'Ich trage nicht gerne die Verantwortung für eine Situation, die sehr viel Denken erfordert.', 'Ich würde komplizierte Probleme einfachen Problemen vorziehen.', 'Ich würde lieber eine Aufgabe lösen, die Intelligenz erfordert, schwierig und bedeutend ist, als eine Aufgabe, die zwar irgendwie wichtig ist, aber nicht viel Nachdenken erfordert.', 'Ich würde lieber etwas tun, das wenig Denken erfordert, als etwas, das mit Sicherheit meine Denkfähigkeit herausfordert.']","[7, 6, 7, 7, 3, 6, 6, 7]","['behindernd', 'herkömmlich', 'ineffizient', 'kompliziert', 'konventionell', 'langweilig', 'uninteressant', 'verwirrend']","['33', '30', '', '']",5.9,2.8333333333333335,2,7.0,5.25,6.125,27.0,30,20,50,25,10
2,9af349b2-9f46-41e5-b6f8-a19cb408ea1a,c2,"['7', '6', '6', '6', '6', '5', '5', '6', '7', '5']","['Beim Online-Datenschutz für Verbraucher:innen geht es in erster Linie um das Recht der Verbraucher:innen, Kontrolle und Autonomie über Entscheidungen auszuüben, wie persönliche Informationen gesammelt, verwendet und weitergegeben werden.', 'Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Die Kontrolle der Verbraucher:innen über ihre persönlichen Informationen ist die Kernaufgabe des Datenschutzes.', 'Eine gute Online-Datenschutzrichtlinie für Verbraucher:innen sollte  klar formuliert und auffällig platziert sein.', 'Es ist mir sehr wichtig, dass ich bewusst und sachkundig darüber informiert bin, wie meine persönlichen Informationen verwendet werden.', 'Es stört mich, so vielen Online-Unternehmen persönliche Informationen zu geben.', 'Ich bin besorgt, dass Online-Unternehmen zu viele persönliche Informationen über mich sammeln.', 'Ich glaube, dass die Online-Privatsphäre durch eine Marketingmaßnahme verletzt wird, wenn Kontrolle verloren geht oder ungewollt reduziert wird.', 'Normalerweise stört es mich, wenn Online-Unternehmen mich nach persönlichen Informationen fragen.', 'Unternehmen, die Online Informationen einholen, sollten offenlegen, wie die Daten gesammelt, verarbeitet und genutzt werden.', 'Wenn mich Online-Unternehmen nach persönlichen Informationen fragen, überlege ich manchmal zweimal, bevor ich sie angebe.']","['1', '6', '4', '3', '6', '3']","['Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher nicht zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Denken entspricht nicht dem, was ich unter Spaß verstehe.', 'Die Aufgabe, neue Lösungen für Probleme zu finden, macht mir wirklich Spaß.', 'Ich trage nicht gerne die Verantwortung für eine Situation, die sehr viel Denken erfordert.', 'Ich würde komplizierte Probleme einfachen Problemen vorziehen.', 'Ich würde lieber eine Aufgabe lösen, die Intelligenz erfordert, schwierig und bedeutend ist, als eine Aufgabe, die zwar irgendwie wichtig ist, aber nicht viel Nachdenken erfordert.', 'Ich würde lieber etwas tun, das wenig Denken erfordert, als etwas, das mit Sicherheit meine Denkfähigkeit herausfordert.']","[2, 3, 2, 2, 3, 3, 3, 2]","['behindernd', 'herkömmlich', 'ineffizient', 'kompliziert', 'konventionell', 'langweilig', 'uninteressant', 'verwirrend']","['25', '', '20', '']",5.9,5.166666666666667,4,2.0,3.0,2.5,27.6,50,7,50,30,1
3,d33f7484-8991-4022-93f7-3a1a679bf25e,c2,"['7', '7', '7', '6', '6', '6', '7', '6', '7', '6']","['Beim Online-Datenschutz für Verbraucher:innen geht es in erster Linie um das Recht der Verbraucher:innen, Kontrolle und Autonomie über Entscheidungen auszuüben, wie persönliche Informationen gesammelt, verwendet und weitergegeben werden.', 'Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Die Kontrolle der Verbraucher:innen über ihre persönlichen Informationen ist die Kernaufgabe des Datenschutzes.', 'Eine gute Online-Datenschutzrichtlinie für Verbraucher:innen sollte  klar formuliert und auffällig platziert sein.', 'Es ist mir sehr wichtig, dass ich bewusst und sachkundig darüber informiert bin, wie meine persönlichen Informationen verwendet werden.', 'Es stört mich, so vielen Online-Unternehmen persönliche Informationen zu geben.', 'Ich bin besorgt, dass Online-Unternehmen zu viele persönliche Informationen über mich sammeln.', 'Ich glaube, dass die Online-Privatsphäre durch eine Marketingmaßnahme verletzt wird, wenn Kontrolle verloren geht oder ungewollt reduziert wird.', 'Normalerweise stört es mich, wenn Online-Unternehmen mich nach persönlichen Informationen fragen.', 'Unternehmen, die Online Informationen einholen, sollten offenlegen, wie die Daten gesammelt, verarbeitet und genutzt werden.', 'Wenn mich Online-Unternehmen nach persönlichen Informationen fragen, überlege ich manchmal zweimal, bevor ich sie angebe.']","['2', '6', '4', '5', '6', '6']","['Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher nicht zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Denken entspricht nicht dem, was ich unter Spaß verstehe.', 'Die Aufgabe, neue Lösungen für Probleme zu finden, macht mir wirklich Spaß.', 'Ich trage nicht gerne die Verantwortung für eine Situation, die sehr viel Denken erfordert.', 'Ich würde komplizierte Probleme einfachen Problemen vorziehen.', 'Ich würde lieber eine Aufgabe lösen, die Intelligenz erfordert, schwierig und bedeutend ist, als eine Aufgabe, die zwar irgendwie wichtig ist, aber nicht viel Nachdenken erfordert.', 'Ich würde lieber etwas tun, das wenig Denken erfordert, als etwas, das mit Sicherheit meine Denkfähigkeit herausfordert.']","[5, 5, 6, 7, 5, 4, 6, 6]","['behindernd', 'herkömmlich', 'ineffizient', 'kompliziert', 'konventionell', 'langweilig', 'uninteressant', 'verwirrend']","['25', '', '20', '']",6.5,4.833333333333333,4,6.0,5.0,5.5,32.0,50,15,50,40,5
4,ad8f10a8-9656-4a36-82b8-c8b8f1916566,c2,"['7', '6', '7', '7', '5', '5', '6', '5', '7', '6']","['Beim Online-Datenschutz für Verbraucher:innen geht es in erster Linie um das Recht der Verbraucher:innen, Kontrolle und Autonomie über Entscheidungen auszuüben, wie persönliche Informationen gesammelt, verwendet und weitergegeben werden.', 'Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Die Kontrolle der Verbraucher:innen über ihre persönlichen Informationen ist die Kernaufgabe des Datenschutzes.', 'Eine gute Online-Datenschutzrichtlinie für Verbraucher:innen sollte  klar formuliert und auffällig platziert sein.', 'Es ist mir sehr wichtig, dass ich bewusst und sachkundig darüber informiert bin, wie meine persönlichen Informationen verwendet werden.', 'Es stört mich, so vielen Online-Unternehmen persönliche Informationen zu geben.', 'Ich bin besorgt, dass Online-Unternehmen zu viele persönliche Informationen über mich sammeln.', 'Ich glaube, dass die Online-Privatsphäre durch eine Marketingmaßnahme verletzt wird, wenn Kontrolle verloren geht oder ungewollt reduziert wird.', 'Normalerweise stört es mich, wenn Online-Unternehmen mich nach persönlichen Informationen fragen.', 'Unternehmen, die Online Informationen einholen, sollten offenlegen, wie die Daten gesammelt, verarbeitet und genutzt werden.', 'Wenn mich Online-Unternehmen nach persönlichen Informationen fragen, überlege ich manchmal zweimal, bevor ich sie angebe.']","['2', '6', '3', '5', '5', '2']","['Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher nicht zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Denken entspricht nicht dem, was ich unter Spaß verstehe.', 'Die Aufgabe, neue Lösungen für Probleme zu finden, macht mir wirklich Spaß.', 'Ich trage nicht gerne die Verantwortung für eine Situation, die sehr viel Denken erfordert.', 'Ich würde komplizierte Probleme einfachen Problemen vorziehen.', 'Ich würde lieber eine Aufgabe lösen, die Intelligenz erfordert, schwierig und bedeutend ist, als eine Aufgabe, die zwar irgendwie wichtig ist, aber nicht viel Nachdenken erfordert.', 'Ich würde lieber etwas tun, das wenig Denken erfordert, als etwas, das mit Sicherheit meine Denkfähigkeit herausfordert.']","[6, 5, 6, 6, 6, 6, 6, 6]","['behindernd', 'herkömmlich', 'ineffizient', 'kompliziert', 'konventionell', 'langweilig', 'uninteressant', 'verwirrend']","['10', '30', '', '']",6.1,5.5,2,6.0,5.75,5.875,45.8,45,50,46,50,38
5,a0aaf028-d523-49ef-b97b-d16fa49c0768,c1,"['5', '5', '6', '4', '3', '4', '4', '4', '7', '3']","['Beim Online-Datenschutz für Verbraucher:innen geht es in erster Linie um das Recht der Verbraucher:innen, Kontrolle und Autonomie über Entscheidungen auszuüben, wie persönliche Informationen gesammelt, verwendet und weitergegeben werden.', 'Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Die Kontrolle der Verbraucher:innen über ihre persönlichen Informationen ist die Kernaufgabe des Datenschutzes.', 'Eine gute Online-Datenschutzrichtlinie für Verbraucher:innen sollte  klar formuliert und auffällig platziert sein.', 'Es ist mir sehr wichtig, dass ich bewusst und sachkundig darüber informiert bin, wie meine persönlichen Informationen verwendet werden.', 'Es stört mich, so vielen Online-Unternehmen persönliche Informationen zu geben.', 'Ich bin besorgt, dass Online-Unternehmen zu viele persönliche Informationen über mich sammeln.', 'Ich glaube, dass die Online-Privatsphäre durch eine Marketingmaßnahme verletzt wird, wenn Kontrolle verloren geht oder ungewollt reduziert wird.', 'Normalerweise stört es mich, wenn Online-Unternehmen mich nach persönlichen Informationen fragen.', 'Unternehmen, die Online Informationen einholen, sollten offenlegen, wie die Daten gesammelt, verarbeitet und genutzt werden.', 'Wenn mich Online-Unternehmen nach persönlichen Informationen fragen, überlege ich manchmal zweimal, bevor ich sie angebe.']","['2', '5', '4', '4', '4', '4']","['Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher nicht zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Denken entspricht nicht dem, was ich unter Spaß verstehe.', 'Die Aufgabe, neue Lösungen für Probleme zu finden, macht mir wirklich Spaß.', 'Ich trage nicht gerne die Verantwortung für eine Situation, die sehr viel Denken erfordert.', 'Ich würde komplizierte Probleme einfachen Problemen vorziehen.', 'Ich würde lieber eine Aufgabe lösen, die Intelligenz erfordert, schwierig und bedeutend ist, als eine Aufgabe, die zwar irgendwie wichtig ist, aber nicht viel Nachdenken erfordert.', 'Ich würde lieber etwas tun, das wenig Denken erfordert, als etwas, das mit Sicherheit meine Denkfähigkeit herausfordert.']","[5, 3, 6, 6, 3, 3, 3, 6]","['behindernd', 'herkömmlich', 'ineffizient', 'kompliziert', 'konventionell', 'langweilig', 'uninteressant', 'verwirrend']","['25', '', '20', '']",4.5,4.5,4,5.75,3.0,4.375,32.4,50,10,50,40,12
6,115068b2-f61b-4fa0-ba2f-b2ca3eb7d651,c1,"['6', '6', '7', '7', '7', '7', '7', '7', '7', '7']","['Beim Online-Datenschutz für Verbraucher:innen geht es in erster Linie um das Recht der Verbraucher:innen, Kontrolle und Autonomie über Entscheidungen auszuüben, wie persönliche Informationen gesammelt, verwendet und weitergegeben werden.', 'Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Die Kontrolle der Verbraucher:innen über ihre persönlichen Informationen ist die Kernaufgabe des Datenschutzes.', 'Eine gute Online-Datenschutzrichtlinie für Verbraucher:innen sollte  klar formuliert und auffällig platziert sein.', 'Es ist mir sehr wichtig, dass ich bewusst und sachkundig darüber informiert bin, wie meine persönlichen Informationen verwendet werden.', 'Es stört mich, so vielen Online-Unternehmen persönliche Informationen zu geben.', 'Ich bin besorgt, dass Online-Unternehmen zu viele persönliche Informationen über mich sammeln.', 'Ich glaube, dass die Online-Privatsphäre durch eine Marketingmaßnahme verletzt wird, wenn Kontrolle verloren geht oder ungewollt reduziert wird.', 'Normalerweise stört es mich, wenn Online-Unternehmen mich nach persönlichen Informationen fragen.', 'Unternehmen, die Online Informationen einholen, sollten offenlegen, wie die Daten gesammelt, verarbeitet und genutzt werden.', 'Wenn mich Online-Unternehmen nach persönlichen Informationen fragen, überlege ich manchmal zweimal, bevor ich sie angebe.']","['2', '6', '3', '5', '5', '3']","['Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher nicht zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Denken entspricht nicht dem, was ich unter Spaß verstehe.', 'Die Aufgabe, neue Lösungen für Probleme zu finden, macht mir wirklich Spaß.', 'Ich trage nicht gerne die Verantwortung für eine Situation, die sehr viel Denken erfordert.', 'Ich würde komplizierte Probleme einfachen Problemen vorziehen.', 'Ich würde lieber eine Aufgabe lösen, die Intelligenz erfordert, schwierig und bedeutend ist, als eine Aufgabe, die zwar irgendwie wichtig ist, aber nicht viel Nachdenken erfordert.', 'Ich würde lieber etwas tun, das wenig Denken erfordert, als etwas, das mit Sicherheit meine Denkfähigkeit herausfordert.']","[6, 6, 5, 4, 6, 5, 5, 6]","['behindernd', 'herkömmlich', 'ineffizient', 'kompliziert', 'konventionell', 'langweilig', 'uninteressant', 'verwirrend']","['25', '', '23', '4']",6.8,5.333333333333333,3,5.25,5.5,5.375,31.4,40,27,45,20,25
7,12df3f4a-d829-477d-8457-14293c95c309,c1,"['7', '7', '7', '6', '6', '7', '6', '7', '7', '7']","['Beim Online-Datenschutz für Verbraucher:innen geht es in erster Linie um das Recht der Verbraucher:innen, Kontrolle und Autonomie über Entscheidungen auszuüben, wie persönliche Informationen gesammelt, verwendet und weitergegeben werden.', 'Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Die Kontrolle der Verbraucher:innen über ihre persönlichen Informationen ist die Kernaufgabe des Datenschutzes.', 'Eine gute Online-Datenschutzrichtlinie für Verbraucher:innen sollte  klar formuliert und auffällig platziert sein.', 'Es ist mir sehr wichtig, dass ich bewusst und sachkundig darüber informiert bin, wie meine persönlichen Informationen verwendet werden.', 'Es stört mich, so vielen Online-Unternehmen persönliche Informationen zu geben.', 'Ich bin besorgt, dass Online-Unternehmen zu viele persönliche Informationen über mich sammeln.', 'Ich glaube, dass die Online-Privatsphäre durch eine Marketingmaßnahme verletzt wird, wenn Kontrolle verloren geht oder ungewollt reduziert wird.', 'Normalerweise stört es mich, wenn Online-Unternehmen mich nach persönlichen Informationen fragen.', 'Unternehmen, die Online Informationen einholen, sollten offenlegen, wie die Daten gesammelt, verarbeitet und genutzt werden.', 'Wenn mich Online-Unternehmen nach persönlichen Informationen fragen, überlege ich manchmal zweimal, bevor ich sie angebe.']","['6', '4', '6', '5', '5', '5']","['Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher nicht zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Denken entspricht nicht dem, was ich unter Spaß verstehe.', 'Die Aufgabe, neue Lösungen für Probleme zu finden, macht mir wirklich Spaß.', 'Ich trage nicht gerne die Verantwortung für eine Situation, die sehr viel Denken erfordert.', 'Ich würde komplizierte Probleme einfachen Problemen vorziehen.', 'Ich würde lieber eine Aufgabe lösen, die Intelligenz erfordert, schwierig und bedeutend ist, als eine Aufgabe, die zwar irgendwie wichtig ist, aber nicht viel Nachdenken erfordert.', 'Ich würde lieber etwas tun, das wenig Denken erfordert, als etwas, das mit Sicherheit meine Denkfähigkeit herausfordert.']","[5, 3, 4, 6, 4, 3, 3, 5]","['behindernd', 'herkömmlich', 'ineffizient', 'kompliziert', 'konventionell', 'langweilig', 'uninteressant', 'verwirrend']","['20', '33', '', '']",6.7,3.5,1,5.0,3.25,4.125,27.2,50,9,50,25,2
8,1cf166b3-bc7e-4a4a-a863-f0a8955a5657,c2,"['6', '7', '6', '6', '5', '4', '6', '5', '6', '5']","['Beim Online-Datenschutz für Verbraucher:innen geht es in erster Linie um das Recht der Verbraucher:innen, Kontrolle und Autonomie über Entscheidungen auszuüben, wie persönliche Informationen gesammelt, verwendet und weitergegeben werden.', 'Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Die Kontrolle der Verbraucher:innen über ihre persönlichen Informationen ist die Kernaufgabe des Datenschutzes.', 'Eine gute Online-Datenschutzrichtlinie für Verbraucher:innen sollte  klar formuliert und auffällig platziert sein.', 'Es ist mir sehr wichtig, dass ich bewusst und sachkundig darüber informiert bin, wie meine persönlichen Informationen verwendet werden.', 'Es stört mich, so vielen Online-Unternehmen persönliche Informationen zu geben.', 'Ich bin besorgt, dass Online-Unternehmen zu viele persönliche Informationen über mich sammeln.', 'Ich glaube, dass die Online-Privatsphäre durch eine Marketingmaßnahme verletzt wird, wenn Kontrolle verloren geht oder ungewollt reduziert wird.', 'Normalerweise stört es mich, wenn Online-Unternehmen mich nach persönlichen Informationen fragen.', 'Unternehmen, die Online Informationen einholen, sollten offenlegen, wie die Daten gesammelt, verarbeitet und genutzt werden.', 'Wenn mich Online-Unternehmen nach persönlichen Informationen fragen, überlege ich manchmal zweimal, bevor ich sie angebe.']","['4', '5', '6', '3', '4', '4']","['Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher nicht zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Denken entspricht nicht dem, was ich unter Spaß verstehe.', 'Die Aufgabe, neue Lösungen für Probleme zu finden, macht mir wirklich Spaß.', 'Ich trage nicht gerne die Verantwortung für eine Situation, die sehr viel Denken erfordert.', 'Ich würde komplizierte Probleme einfachen Problemen vorziehen.', 'Ich würde lieber eine Aufgabe lösen, die Intelligenz erfordert, schwierig und bedeutend ist, als eine Aufgabe, die zwar irgendwie wichtig ist, aber nicht viel Nachdenken erfordert.', 'Ich würde lieber etwas tun, das wenig Denken erfordert, als etwas, das mit Sicherheit meine Denkfähigkeit herausfordert.']","[5, 4, 5, 6, 4, 4, 5, 6]","['behindernd', 'herkömmlich', 'ineffizient', 'kompliziert', 'konventionell', 'langweilig', 'uninteressant', 'verwirrend']","['10', '25', '', '']",5.6,3.6666666666666665,1,5.5,4.25,4.875,26.8,50,11,50,22,1
9,5884b349-3f0b-4bca-9643-3665cfb97143,c1,"['6', '6', '7', '5', '6', '6', '5', '7', '6', '6']","['Beim Online-Datenschutz für Verbraucher:innen geht es in erster Linie um das Recht der Verbraucher:innen, Kontrolle und Autonomie über Entscheidungen auszuüben, wie persönliche Informationen gesammelt, verwendet und weitergegeben werden.', 'Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Die Kontrolle der Verbraucher:innen über ihre persönlichen Informationen ist die Kernaufgabe des Datenschutzes.', 'Eine gute Online-Datenschutzrichtlinie für Verbraucher:innen sollte  klar formuliert und auffällig platziert sein.', 'Es ist mir sehr wichtig, dass ich bewusst und sachkundig darüber informiert bin, wie meine persönlichen Informationen verwendet werden.', 'Es stört mich, so vielen Online-Unternehmen persönliche Informationen zu geben.', 'Ich bin besorgt, dass Online-Unternehmen zu viele persönliche Informationen über mich sammeln.', 'Ich glaube, dass die Online-Privatsphäre durch eine Marketingmaßnahme verletzt wird, wenn Kontrolle verloren geht oder ungewollt reduziert wird.', 'Normalerweise stört es mich, wenn Online-Unternehmen mich nach persönlichen Informationen fragen.', 'Unternehmen, die Online Informationen einholen, sollten offenlegen, wie die Daten gesammelt, verarbeitet und genutzt werden.', 'Wenn mich Online-Unternehmen nach persönlichen Informationen fragen, überlege ich manchmal zweimal, bevor ich sie angebe.']","['3', '5', '2', '3', '4', '4']","['Damit wir wissen, dass Sie die Fragen gelesen haben, wählen sie bitte die Antwortmöglichkeit ""Stimme eher nicht zu"" aus. Dies ist ein Aufmerksamkeitstests.', 'Denken entspricht nicht dem, was ich unter Spaß verstehe.', 'Die Aufgabe, neue Lösungen für Probleme zu finden, macht mir wirklich Spaß.', 'Ich trage nicht gerne die Verantwortung für eine Situation, die sehr viel Denken erfordert.', 'Ich würde komplizierte Probleme einfachen Problemen vorziehen.', 'Ich würde lieber eine Aufgabe lösen, die Intelligenz erfordert, schwierig und bedeutend ist, als eine Aufgabe, die zwar irgendwie wichtig ist, aber nicht viel Nachdenken erfordert.', 'Ich würde lieber etwas tun, das wenig Denken erfordert, als etwas, das mit Sicherheit meine Denkfähigkeit herausfordert.']","[6, 6, 7, 6, 5, 5, 4, 6]","['behindernd', 'herkömmlich', 'ineffizient', 'kompliziert', 'konventionell', 'langweilig', 'uninteressant', 'verwirrend']","['25', '', '23', '50']",6.0,4.5,4,6.25,5.0,5.625,26.6,50,6,50,26,1
